actorId,canonicalName,actorTypes,messageCount,subject,object,possessive,confidence,source,rationale,flags,sampleMessages
7cc122ff-96a1-4c54-8992-85ceca987ca6,3 Ladies w/ 3 Dudes,contact,0,they,them,their,0.2,messageCount,No messages or further context leads to the use of they/them.,,
a623e798-8c11-4ba4-bf8d-4f7fd79cc345,Ale,contact,0,they,them,their,0.2,sampleMessages,"No messages available for attribution, weak evidence for any specific pronoun.",short_low_signal,
b721d842-0996-4225-bedc-690945073589,ALPHA TOURS 24/7,contact,1,they,them,their,0.2,sampleMessages,"Only one message present, insufficient for any clear pronoun attribution.",single_message_contact,
6af94af5-768a-4d91-94aa-2799511fbe7f,Horacio,contact,1,they,them,their,0.2,no messages,Insufficient evidence to determine gender; actor relies on an ambiguous name.,single_message_contact,
79eac68a-7bdd-40a7-8333-8d22a41d8115,Karina,contact,1,she,her,her,0.2,actor's name,"The name Karina may imply a feminine identity, but without further evidence, the confidence remains low.",single_message_contact,
f9e20804-f869-4190-a551-0f7ef7c23b75,Kelly Busin,contact,1,she,her,her,0.2,actor's name,"The name Kelly is commonly feminine, but with only one sample message, the evidence remains weak.",single_message_contact,kelly - caramelized goat cheese salad julia - caramelized goat cheese salad
17983164-d9f6-4658-9d85-3f7cc5e7e7ea,Parabens,contact,0,they,them,their,0.2,no messages available,No evidence to support a specific gender; ambiguous name.,,
6f5f28a7-0495-455f-b3f5-aae77720d893,Christian Carlos,contact,2392,they,them,their,0.25,ambiguous_default,Model did not return a pronoun set for this actor; using neutral fallback.,,"ahora necesito el tesla que guíe solo. || me inspiré en tu road trip y planifiqué uno de dallas ga (dónde vivo) a greenville sc, asheville nc, charlotte nc, columbia sc, charleston sc, athens ga, dallas ga. || desde que cambié el portfolio ya subió como 3k. tengo miedo. 🤣 || https://youtube.com/shorts/zaux3hjrexm?si=udjuzwre4x0evx-q nvidia autonomous vehicle chip with mercedes benz"
eee03b80-2df4-499e-8fc4-38b4daf55a3e,Francheska,contact,610,they,them,their,0.25,ambiguous_default,Model did not return a pronoun set for this actor; using neutral fallback.,,"trate de converserla a que regrese🫣 || ivette, cristina y yo aparecemos como 1er dan || le pregunte al sr. irizarry y me informa que la nuestra esta dañada. sorry || gracias a todos por sus felicitaciones!"
a4d7cba8-f8eb-4941-972c-483aadf4dab4,Jacob Wright,contact,0,they,them,their,0.25,ambiguous_default,Model did not return a pronoun set for this actor; using neutral fallback.,,
170a7bc1-9be5-4d06-89e8-588dc82459e2,Sendoff party,contact,0,they,them,their,0.25,ambiguous_default,Model did not return a pronoun set for this actor; using neutral fallback.,,
30aa88c5-70d2-4fc0-bc24-c4df582225cd,Allen,contact,5,they,them,their,0.3,sampleMessages,The messages are ambiguous and do not indicate a clear gender.,,igual a ti como has estado || sammy sensei added ~ allen
917ce06e-3025-4bd5-b6ce-9c663094e018,Jan,contact,0,they,them,their,0.3,name context,Jan does not clearly indicate gender.,short_low_signal,
a903b522-03a7-4f6d-b186-7024302810aa,Kraken,contact,71,they,them,their,0.3,actor's name,The name Kraken is ambiguous and does not provide any clear indicators of gender.,,https://www.facebook.com/share/r/1bl4kpnxgv/ || https://www.facebook.com/share/v/1kkgdrkwwz/ || https://www.instagram.com/reel/dt2ygzokkg5/?igsh=mtbybzrvztdpcgn1yg== || feliz año nuevo para todos
beb9c225-1c54-4201-9f69-2b931329dc1e,Neighbors 4eva!,contact,3,they,them,their,0.3,actorTypes,Group name; unclear individual attribution.,,you changed this group's icon || you changed this group's icon
2f14a287-5566-4481-9f1c-c876c23face9,Gville ?,contact,1,they,them,their,0.4,sampleMessages,"The ambiguity of 'Gville ?' makes it unclear regarding gender, necessitating a neutral pronoun.",single_message_contact,
e289c792-62a5-4755-8c97-7142536a1f39,Isidro Castiñeyra,contact,7,they,them,their,0.4,multiple messages imply an informal conversat...,"Messages indicate familiarity, but no clear gender indication.",,"i got cash out of am atm at the airport. usually your bank gives a better rate than the cash exchange. do remember to use only the first four digits of your pin. || cabeza dura. [7/9/23, 11:31:25] anibal: gif omitted || the same form that afifa sent in english: https://apps.migracioncolombia.gov.co/pre-registro/en/datosviaje || se detecta cierta tensión en el aire."
b51a1142-0579-4bcb-8f24-ccbff3f00bc6,Kris🧚‍♂️✨️,contact,8,they,them,their,0.4,sample messages,"The name Kris, while often male, can also be gender-neutral. The messages reflect a casual tone, lacking definitive gender indicators.",,"para saber qué pagar y esoo || hola, pregunta: quién va a trabajar lo de las camisas para el ninja camp? || felicidades!! que sean muchos más!!🎂🥳 @~ivette || https://www.instagram.com/reel/c61a5tdij80/?igsh=cwpwm2hlc2z4ohex"
